Driver instructions:

Strategy instructions:

Power 1:

Power 2:

Power 3:

Rpm 1:
1, rpm, x, 10:57:29.518
432, rpm, -1, 11:10:07.134
433, rpm, -1, 11:10:07.134
434, rpm, -1, 11:10:07.134
435, rpm, -1, 11:10:07.134
436, rpm, -1, 11:10:07.134
437, rpm, -1, 11:10:07.134
438, rpm, -1, 11:10:07.134
439, rpm, -1, 11:10:07.134
440, rpm, -1, 11:10:07.134
441, rpm, -1, 11:10:07.134
442, rpm, -1, 11:10:07.134
443, rpm, -1, 11:10:07.134
444, rpm, -1, 11:10:07.134
445, rpm, -1, 11:10:07.134
446, rpm, -1, 11:10:07.134
447, rpm, -1, 11:10:07.134
448, rpm, -1, 11:10:07.134
449, rpm, -1, 11:10:07.134
450, rpm, -1, 11:10:07.134
451, rpm, -1, 11:10:07.134
452, rpm, -1, 11:10:07.134
453, rpm, -1, 11:10:07.134
454, rpm, -1, 11:10:07.134
455, rpm, -1, 11:10:07.134
456, rpm, -1, 11:10:07.134
457, rpm, -1, 11:10:07.134
458, rpm, -1, 11:10:07.134
459, rpm, -1, 11:10:07.134
460, rpm, -1, 11:10:07.134
461, rpm, -1, 11:10:07.134
462, rpm, -1, 11:10:07.134
463, rpm, -1, 11:10:07.134
464, rpm, -1, 11:10:07.134
465, rpm, -1, 11:10:07.134
466, rpm, -1, 11:10:07.134
467, rpm, -1, 11:10:07.134
468, rpm, -1, 11:10:07.134
469, rpm, -1, 11:10:07.134
470, rpm, -1, 11:10:07.134
471, rpm, -1, 11:10:07.134
472, rpm, -1, 11:10:07.134
473, rpm, -1, 11:10:07.134
474, rpm, -1, 11:10:07.134
475, rpm, -1, 11:10:07.134
476, rpm, -1, 11:10:07.134
477, rpm, -1, 11:10:07.134
478, rpm, -1, 11:10:07.134
479, rpm, -1, 11:10:07.134
480, rpm, -1, 11:10:07.134
481, rpm, -1, 11:10:07.134
482, rpm, -1, 11:10:07.134
483, rpm, -1, 11:10:07.134
484, rpm, -1, 11:10:07.134
485, rpm, -1, 11:10:07.134
486, rpm, -1, 11:10:07.134
487, rpm, -1, 11:10:07.134
